"UserName","Address","safeName","secretType","platformId","AccountManaged","manualManagementReason","ManagingCPM","SecretStatus","PlatformName","DualControl","ExclusiveUse","OneTime","RequireReason"
,,"TelemetryConfig","password","","True",,"",,,,,,
"123","123","IAMSafe2","password","AL-Windows-Domain-Admin-Accounts","True",,"",,"AL-Windows-Domain-Admin-Accounts","False","False","False","True"
"aaaaaa","192.168.0.1","HenrySafe11","password","UMDomainAdmin","False","No Reason","UM-CPM-01",,"UM Domain Admin","False","False","False","False"
"Abyi2","host-1.am.pcloud","Safe-01-AM","password","Win-DOM-AM","True",,"UM-CPM-02","success","Win-DOM -AM","False","False","False","False"
"AbzCCP","10.0.0.15","CCP-AM-Test","password","CP-ABZ_Test","True",,"CPM_2029_Prod",,"CP-ABZ_Test","False","False","False","False"
"abzmac","abz.pcloud","CA-Safe-2023","password","CP-ABZ_Test","True",,"CON-004-2023-CPM","success","CP-ABZ_Test","False","False","False","False"
"abzmac","abz.pcloud","Reconcile-2023","password","Reconcile-2023","True",,"CON-004-2023-CPM",,"Reconcile-2023","False","False","False","False"
"adefrance","sasscorp.local","ModernHTML5-Test-Accounts","password","Win-Dom-ModernHTML5","True",,"CONN01",,"Win-Dom-ModernHTML5","False","False","False","False"
"admin","10.0.0.6","Unix Accounts","password","servicesumLinuxSSH","True",,"CONN01",,"servicesum Linux SSH","False","False","False","False"
"admin","10.0.0.7","Unix Accounts","password","Mkin-SSH","True",,"CONN01",,"Mkin-SSH","False","False","False","False"
"admin","ianslab.com","IanTest","password","IANSPLATFORM","True",,"CONN01",,,,,,
"admin","lab.local","BABTest","password","BAB-WindowsDomainAccount","True",,"",,"BAB - Windows Domain Account","True","True","True","True"
"admin-c","argon.local","PPA-ArgonL2","password","ArgonL-WindowsDomainAccount","True",,"CPM-ArgonL-ST1","success","ArgonL - Windows Domain Account","False","False","False","False"
"administrator","10.0.0.2","MM-Win-Dom","password","MM-Win-Dom","False","(CPM)MaxRetries","mcaugm01_cpm","failure","MM-Win-Dom","False","False","True","False"
"Administrator","ad-conn1.saascorp.local","Saascorp Win Local Accounts","password","UMServerLocalAccounts","False","(CPM)MaxRetries","CONN01","failure","UM Server Local Accounts","False","False","False","False"
"Administrator","ArgonL-Con1.argon.local","MM-Win-Dom","password","MM-LCD","True",,"mcaugm01_cpm",,"MM-LCD","False","False","False","False"
"Administrator","bcconn01.bjc-cyb.local","Collins_WIN_DOM","password","CollinsWinDomAcct","False","(CPM)MaxRetries","bcconn01","failure","Collins Win Dom Acct","False","False","False","False"
"administrator","bjc-cyb.local","Collins_WIN_DOM","password","CollinsWinDomAcct","True",,"bcconn01","success","Collins Win Dom Acct","False","False","False","False"
"Administrator","conn01.saascorp.local","Saascorp Win Local Accounts","password","UMServerLocalAccounts","True",,"CONN01","success","UM Server Local Accounts","False","False","False","False"
"Administrator","CONN-UM-01.argon.local","MM-Win-Dom","password","MM-LCD","True",,"mcaugm01_cpm",,"MM-LCD","False","False","False","False"
"Administrator","EC2AMAZ-B03NQ0S","FletchLocalTesting","password","FletchAWS-ServerLocal","True",,"",,"FletchAWS-ServerLocal","False","False","False","False"
"administrator","mylab.local","BilalA-Test","password","BilalAWindowsDomainAccount","False","test","wins2019s",,"BilalA Windows Domain Account","False","False","False","False"
"administrator","popeconcm.popelabsh.local","PopeWindowsDom","password","pope-win-server-local","True",,"conpope131",,"pope-win-server-local","False","False","False","False"
"Administrator","saascorp.local","Domain Admins","password","UMDomainAdmin","False","(CPM)MaxRetries","CONN01","failure","UM Domain Admin","False","False","False","False"
"Administrator","wintest.saascorp.local","Saascorp Win Local Accounts","password","UMServerLocalAccounts","False","(CPM)MaxRetries","CONN01","failure","UM Server Local Accounts","False","False","False","False"
"administrator@vsphere.local","192.168.41.107","HB-Accounts","password","HBOTHA-vCenter","False","(CPM)MaxRetries","CPM_HBOTHA","failure","HBOTHA-vCenter","False","False","False","False"
"AdministratorMM1","FINAPP05.exFinance.com","mmcaughey","password","WinServerLocal","True",,"HOST-10",,"Windows Server Local Accounts","False","False","False","False"
"AdministratorMM2","JSmith.exFinance.com","mmcaughey","password","WinServerLocal","True",,"HOST-10",,"Windows Server Local Accounts","False","False","False","False"
"AdministratorMM3","TJones.exFinance.com","mmcaughey","password","WinServerLocal","True",,"HOST-10",,"Windows Server Local Accounts","False","False","False","False"
"AdministratorMM4","FINAPP08.exFinance.com","mmcaughey","password","WinServerLocal","True",,"HOST-10",,"Windows Server Local Accounts","False","False","False","False"
"AESafeManager@cyberark.cloud.1024","servicesum.cyberark.cloud","mmcaughey","password","CyberArkIdentitySecurity","True",,"HOST-10","success","Cyberark Identity Security","False","False","False","False"
"a-jake","cybr.local","PPA_I_204","password","MM-Win-Dom","False","(PPADisable)","wins2019s",,"MM-Win-Dom","False","False","True","False"
"AKIAY5A5KCQRZDN4ZDPF",,"Notification Engine","password","","True",,"",,,,,,
"alawson_ADM1","saascorps.local","PPA_I_538","password","AL-Windows-Domain-Admin-Accounts","False","(PPADisable)","",,"AL-Windows-Domain-Admin-Accounts","False","False","False","True"
"alawson_admin","saascorp.local","alawson-demo","password","AL-Windows-Domain-Admin-Accounts","True",,"UM-CPM-02","success","AL-Windows-Domain-Admin-Accounts","False","False","False","True"
"alawson_AWS",,"alawson-demo","key","ATL-AWS-Service","True",,"UM-CPM-02",,"ATL-AWS-Service","False","False","False","False"
"alawson_da1","saascorp.local","PPA_I_538","password","MM-Win-Dom","False","(PPADisable)","",,"MM-Win-Dom","False","False","True","False"
"alawson_root","10.0.0.1","alawson-demo","password","UnixSSH","True",,"UM-CPM-02",,"Unix via SSH","False","False","False","False"
"alawsontest","10.0.0.5","alawson-demo","password","CiscoSSH","False","No Reason","UM-CPM-02",,"Cisco router via SSH","False","False","False","False"
"AL-C-Admin01","argonlau.local","PPA-ArgonL-ST","password","ArgonL-WindowsDomainAccount-ST","True",,"CPM-ArgonL-ST1","success","ArgonL - Windows Domain Account - ST","False","False","False","False"
"ALTEST","database01","alawson-corp","password","MSSql","True",,"CONN01",,"Microsoft SQL Server","False","False","False","False"
"andrewtest","corp.com","alawson-corp","password","AL-Windows-Domain-Admin-Accounts","True",,"CONN01","success","AL-Windows-Domain-Admin-Accounts","False","False","False","True"
"apope","10.0.0.5","popetest","key","Pope-Unix-Keys","True",,"conpope131",,"Pope-Unix-Keys","False","False","False","False"
"apope","10.0.0.7","popetest","password","Pope-Unix-Password","True",,"conpope131",,"Pope-Unix-Password","False","False","False","False"
"apope","apope.com","popevaultonly","password","vaultonlytest","True",,"conpope131",,"vaultonlytest","False","False","False","False"
"apope@cyberark.cloud.1024","servicesum.cyberark.cloud","popetest","password","Pope-Identity","True",,"conpope131","success","Pope-Identity","False","False","False","False"
"apopeidentity","servicesum.cyberark.cloud","popetest","password","Pope-Identity","True",,"conpope131",,"Pope-Identity","False","False","False","False"
"argonl-safemanager@cyberark.cloud.1024","servicesum.cyberark.cloud","PPA-ArgonL2","password","CyberArkIdentitySecurity-AL","True",,"CPM-ArgonL-ST1","success","Cyberark Identity Security - ArgonL","False","False","False","False"
"a-rootMM1","FinDevORA01.exFinance.com","mmcaughey","password","UnixSSH","True",,"HOST-10",,"Unix via SSH","False","False","False","False"
"as400admin","1.2.3.4","SafeDescSearchTest","password","RCH-AS400","False","No Reason","",,"RCH - AS400","False","False","False","False"
"asdf","adsf","Unix Accounts","password","WinLooselyDevice","False","Loosely connected device password change is pending (ImmediateTask)","CONN01",,"Windows Loosely Device","False","False","False","False"
"ATLadmin01","saascorp.local","ATL-Dual-Control-OTP","password","ATL-Dual-Control-OTP","True",,"CONN01","success","ATL-Dual-Control-OTP","True","True","True","False"
"bcollins","bjc-cyb.local","Collins_WIN_DOM","password","CollinsWinDomAcct","True",,"bcconn01","success","Collins Win Dom Acct","False","False","False","False"
"bjcadminconnect","BJC-CYB.LOCAL","PSM","password","BJC-DOM-PSMADMIN-ACCOUNT","True",,"CONN01",,"BJC-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"bjcconnect","BJC-CYB.LOCAL","PSM","password","BJC-DOM-PSMADMIN-ACCOUNT","True",,"CONN01",,"BJC-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_1","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_2","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_3","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_4","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_5","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_6","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMAC","pcloud-london.com","PSM_Bod_Old_7","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
